M,efConstruction,efSearch,recall@1,build_time,search_time,memory_usage
8,4,32,608,180.1416017,0.059046089,592566706
8,8,2,607,179.3639674,0.061055139,592566706
8,8,4,607,179.3639674,0.058954681,592566706
8,8,8,607,179.3639674,0.070855535,592566706
8,8,16,607,179.3639674,0.058242421,592566706
8,8,32,607,179.3639674,0.057072704,592566706
8,16,2,612,178.7719434,0.128619931,592566706
8,16,4,612,178.7719434,0.114582465,592566706
8,16,8,612,178.7719434,0.1287057,592566706
8,16,16,612,178.7719434,0.114451937,592566706
8,16,32,612,178.7719434,0.125931049,592566706
8,32,2,607,178.5583728,0.059749563,592566706
8,32,4,607,178.5583728,0.072332034,592566706
8,32,8,607,178.5583728,0.057204486,592566706
8,32,16,607,178.5583728,0.055738308,592566706
8,32,32,607,178.5583728,0.059155059,592566706
16,2,2,700,192.799197,0.138268663,656258362
16,2,4,700,192.799197,0.173036784,656258362
16,2,8,700,192.799197,0.169478316,656258362
16,2,16,700,192.799197,0.162155874,656258362
16,2,32,700,192.799197,0.166914278,656258362
16,4,2,701,193.9390375,0.085038198,656258362
16,4,4,701,193.9390375,0.078821463,656258362
16,4,8,701,193.9390375,0.078353892,656258362
16,4,16,701,193.9390375,0.080857276,656258362
16,4,32,701,193.9390375,0.076890237,656258362
16,8,2,700,194.6704267,0.101352633,656258362
16,8,4,700,194.6704267,0.079007423,656258362
16,8,8,700,194.6704267,0.080562585,656258362
16,8,16,700,194.6704267,0.08408395,656258362
16,8,32,700,194.6704267,0.076641511,656258362
16,16,2,700,193.7998563,0.085792922,656258362
16,16,4,700,193.7998563,0.079418425,656258362
16,16,8,700,193.7998563,0.078991197,656258362
16,16,16,700,193.7998563,0.136445174,656258362
16,16,32,700,193.7998563,0.171920514,656258362
16,32,2,699,194.8362896,0.084379845,656258362
16,32,4,699,194.8362896,0.091868309,656258362
16,32,8,699,194.8362896,0.083212102,656258362
16,32,16,699,194.8362896,0.083788757,656258362
16,32,32,699,194.8362896,0.076784211,656258362
32,2,2,862,391.1797122,0.176519003,784129506
32,2,4,862,391.1797122,0.154941065,784129506
32,2,8,862,391.1797122,0.190204168,784129506
32,2,16,862,391.1797122,0.267671663,784129506
32,2,32,862,391.1797122,0.306956157,784129506
32,4,2,867,388.6264664,0.227743664,784129506
32,4,4,867,388.6264664,0.148415685,784129506
32,4,8,867,388.6264664,0.150885009,784129506
32,4,16,867,388.6264664,0.150409392,784129506
32,4,32,867,388.6264664,0.155265157,784129506
32,8,2,862,384.676505,0.284707772,784129506
32,8,4,862,384.676505,0.289860611,784129506
32,8,8,862,384.676505,0.146218315,784129506
32,8,16,862,384.676505,0.159935096,784129506
32,8,32,862,384.676505,0.145187285,784129506
32,16,2,860,382.0235101,0.156163363,784129506
32,16,4,860,382.0235101,0.148946271,784129506
32,16,8,860,382.0235101,0.165239233,784129506
32,16,16,860,382.0235101,0.149919677,784129506
32,16,32,860,382.0235101,0.150151193,784129506
32,32,2,861,385.5472461,0.162644264,784129506
32,32,4,861,385.5472461,0.159374159,784129506
32,32,8,861,385.5472461,0.169398198,784129506
32,32,16,861,385.5472461,0.151114691,784129506
32,32,32,861,385.5472461,0.155202715,784129506
